"STATION","NAME","DATE","AWND","PRCP","TMAX","TMIN"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-01","18.34","0.11","59","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-02","8.28","0.00","41","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-03","11.41","0.00","46","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-04","11.63","0.00","45","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-05","11.86","0.40","46","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-06","18.12","0.00","51","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-07","10.51","0.00","35","25"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-08","7.83","0.17","46","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-09","21.25","0.07","47","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-10","23.94","0.00","36","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-11","19.01","0.00","32","22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-12","6.49","0.00","35","20"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-13","10.51","0.00","33","24"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-14","12.08","0.00","33","24"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-15","6.71","0.00","36","23"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-16","12.97","0.00","39","25"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-17","8.05","0.00","34","25"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-18","7.61","0.04","39","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-19","9.62","0.41","39","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-20","19.69","1.23","50","15"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-21","27.51","0.00","15","5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-22","11.41","0.00","31","14"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-23","13.65","0.00","47","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-24","21.25","1.37","54","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-25","16.55","0.00","40","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-26","9.40","0.00","33","24"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-27","14.54","0.00","45","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-28","11.18","0.00","39","23"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-29","10.51","0.21","43","22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-30","21.03","0.00","35","7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-31","16.55","0.00","17","3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-01","9.84","0.00","22","11"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-02","12.30","0.00","32","16"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-03","7.38","0.00","49","25"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-04","4.92","0.00","53","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-05","6.04","0.00","60","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-06","10.51","0.50","45","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-07","8.95","0.15","44","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-08","15.21","0.15","55","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-09","21.03","0.00","34","24"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-10","9.40","0.00","35","22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-11","6.04","0.00","37","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-12","14.76","0.86","37","26"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-13","16.55","0.03","42","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-14","14.09","0.00","46","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-15","16.33","0.00","54","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-16","16.11","0.00","52","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-17","9.17","0.04","36","25"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-18","14.09","0.09","43","26"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-19","13.65","0.00","36","23"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-20","7.16","0.66","34","26"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-21","12.53","0.17","51","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-22","12.75","0.00","45","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-23","7.38","0.00","40","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-24","15.43","0.90","47","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-25","29.30","0.00","44","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-26","17.67","0.00","39","26"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-27","8.28","0.00","30","24"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-02-28","12.08","0.01","37","27"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-01","9.62","0.03","37","27"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-02","10.51","0.56","40","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-03","8.05","0.57","43","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-04","15.43","0.44","39","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-05","14.09","0.00","33","20"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-06","17.90","0.00","28","19"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-07","13.42","0.00","33","18"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-08","5.82","0.00","37","22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-09","7.38","0.00","47","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-10","12.30","0.87","44","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-11","16.78","0.00","54","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-12","18.34","0.00","45","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-13","7.83","0.00","42","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-14","12.08","0.00","52","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-15","17.22","0.16","59","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-16","20.80","0.00","57","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-17","13.20","0.00","45","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-18","7.83","0.00","45","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-19","9.62","0.00","50","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-20","8.50","0.00","50","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-21","14.32","0.63","48","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-22","22.15","0.59","51","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-23","24.61","0.00","50","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-24","12.30","0.00","58","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-25","9.62","0.00","54","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-26","15.21","0.00","48","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-27","9.40","0.00","42","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-28","12.53","0.00","48","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-29","7.16","0.00","56","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-30","15.43","0.00","57","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-03-31","19.24","0.11","56","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-01","16.78","0.00","47","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-02","11.63","0.05","49","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-03","19.91","0.01","66","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-04","13.20","0.00","61","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-05","10.29","0.23","43","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-06","8.05","0.00","63","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-07","10.29","0.00","59","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-08","7.61","0.27","68","48"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-09","8.50","0.01","48","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-10","14.32","0.00","61","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-11","7.83","0.00","48","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-12","14.09","0.61","62","45"
